layer,input_shape,output_shape,kernel,groups,precision,input_format,output_format,weight_type,tactic,suspected_fallback_reason
"model.12.m.0.cv2.conv.weight + /model.12/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.12/m.0/cv2/conv/Conv + PWN(/model.12/m.0/cv2/act/Sigmoid, /model.12/m.0/cv2/act/Mul)",1x44x40x40,1x44x40x40,3x3,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x64_relu_small_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.12.cv2.conv.weight + /model.12/cv2/conv/weight_quantizer/QuantizeLinear + /model.12/cv2/conv/Conv,1x132x40x40,1x89x40x40,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_interior_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=89 is not divisible by 4, unfavorable for vectorized INT8"
"model.15.cv0.conv.weight + /model.15/cv0/conv/weight_quantizer/QuantizeLinear + /model.15/cv0/conv/Conv + PWN(/model.15/cv0/act/Sigmoid, /model.15/cv0/act/Mul)",1x133x80x80,1x22x80x80,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Four wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_xregs_interior_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
model.15.cv1.conv.weight + /model.15/cv1/conv/weight_quantizer/QuantizeLinear + /model.15/cv1/conv/Conv,1x133x80x80,1x22x80x80,1x1,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_xregs_small_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=22 is not divisible by 4, unfavorable for vectorized INT8"
model.15.m.0.cv1.conv.weight + /model.15/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.15/m.0/cv1/conv/Conv,1x22x80x80,1x22x80x80,3x3,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_xregs_small_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=22 is not divisible by 4, unfavorable for vectorized INT8"
model.15.m.0.cv2.conv.weight + /model.15/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.15/m.0/cv2/conv/Conv,1x22x80x80,1x22x80x80,3x3,1,FP32,Four wide channel vectorized row major Int8 format,Row major linear FP32,Int8,volta_fp32_icudnn_int8x4_128x32_relu_xregs_small_nn_v1,"mixed tactic: INT8 input/weights with FP32 output, not full FP32 compute; Cout=22 is not divisible by 4, unfavorable for vectorized INT8"
"model.15.cv2.conv.weight + /model.15/cv2/conv/weight_quantizer/QuantizeLinear + /model.15/cv2/conv/Conv + PWN(/model.15/cv2/act/Sigmoid, /model.15/cv2/act/Mul)",1x66x80x80,1x44x80x80,1x1,1,INT8,Four wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,volta_int8x4_icudnn_int8x4_128x32_relu_interior_c32_linkable_nn_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.16.conv.weight + /model.16/conv/weight_quantizer/QuantizeLinear + /model.16/conv/Conv + PWN(/model.16/act/Sigmoid, /model.16/act/Mul)",1x44x80x80,1x44x40x40,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_128x128_ldg16_relu_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
"model.22.cv3.0.0.conv.weight + /model.22/cv3.0/cv3.0.0/conv/weight_quantizer/QuantizeLinear + /model.22/cv3.0/cv3.0.0/conv/Conv + PWN(/model.22/cv3.0/cv3.0.0/act/Sigmoid, /model.22/cv3.0/cv3.0.0/act/Mul)",1x44x80x80,1x44x80x80,3x3,1,INT8,Thirty-two wide channel vectorized row major Int8 format,Thirty-two wide channel vectorized row major Int8 format,Int8,turing_int8_i8816cudnn_int8_256x64_ldg16_relu_singleBuffer_small_linkable_nt_v1,Engine inspector confirms INT8 output format and INT8 tactic.
/model.22/cv3.0/cv3.0.2/Conv,1x44x80x80,1x6x80x80,1x1,1,FP32,Channel major FP32 format,Channel major FP32 format,Float,sm70_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nhwckrsc_nhwc_tilesize64x16x16_stage1_warpsize1x1x1_g1_ffma_simple_t1r1s1_aligna4_alignc4,"engine inspector confirms float weights and FP32 tactic; Detect/DFL boundary remains high precision to preserve detector semantics; FP32 island propagated through the input tensor; Cout=6 is not divisible by 4, unfavorable for vectorized INT8"
